omim,title,prevalence,onset_age,disease_def,synonym
615350,Orphanet: Muscle eye brain disease,Unknown,"Infancy,Neonatal","A rare, congenital muscular dystrophy due to dystroglycanopathy characterized by early onset muscular dystrophy, severe muscular hypotonia, severe mental retardation and typical brain and eye malformations, including pachygyria, polymicrogyria, agyria, brainstem and cerebellar structural anomalies, severe myopia, glaucoma, optic nerve and retinal hypoplasia. Patients may present with seizures, macrocephaly or microcephaly, microphthalmia, and congenital contractures. Depending on the severity, limited motor function is acquired. Less severe cases have been reported.","MEB syndrome,Muscle-eye-brain syndrome,Santavuori congenital muscular dystrophy"
615179,Orphanet: Oculocutaneous albinism type 7,&lt;1 / 1 000 000,-,"A form of oculocutaneous albinism (OCA) characterized by skin and hair hypopigmentation (light blond to dark brown), nystagmus, iris transillumination, visual acuity ranging from 6/9 to 3/60 and hypopigmentation of the peripheral ocular fundus. Photophobia is not a major feature.",OCA7
615170,Orphanet: Syndactyly camptodactyly and clinodactyly of fifth fingers bifid toes syndrome,&lt;1 / 1 000 000,"Infancy,Neonatal","A rare, genetic, congenital limb malformation syndrome characterized by a unique combination of bilateral, symmetrical camptodactyly and clinodactyly of 5th fingers, mesoaxial camptodactyly of toes, and ulnar deviation of 3rd fingers. Additional variable manifestations include bifid toes and severe syndactyly, or synpolydactyly, involving all digits of hands and feet.","Synactyly-camptodactyly and clinodactyly of fifth fingers-bifid halluces syndrome,Wahab syndrome"
618775,Orphanet: Isolated complex III deficiency,-,"Neonatal,Infancy,Childhood","Isolated complex III deficiency is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by a wide spectrum of clinical manifestations ranging from isolated myopathy or transient hepatopathy to severe multisystem disorder (that may include hypotonia, failure to thrive, psychomotor delay, cardiomyopathy, encephalopathy, renal tubulopathy, hearing impairment, lactic acidosis, hypoglycemia and other signs and symptoms).","Isolated CoQ-cytochrome C reductase deficiency,Isolated coenzyme Q-cytochrome C reductase deficiency,Isolated mitochondrial respiratory chain complex III deficiency,Isolated ubiquinone-cytochrome C reductase deficiency"
618775,Orphanet: Isolated complex III deficiency,-,"Neonatal,Infancy,Childhood","Isolated complex III deficiency is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by a wide spectrum of clinical manifestations ranging from isolated myopathy or transient hepatopathy to severe multisystem disorder (that may include hypotonia, failure to thrive, psychomotor delay, cardiomyopathy, encephalopathy, renal tubulopathy, hearing impairment, lactic acidosis, hypoglycemia and other signs and symptoms).","Isolated CoQ-cytochrome C reductase deficiency,Isolated coenzyme Q-cytochrome C reductase deficiency,Isolated mitochondrial respiratory chain complex III deficiency,Isolated ubiquinone-cytochrome C reductase deficiency"
618775,Orphanet: Isolated complex III deficiency,-,"Neonatal,Infancy,Childhood","Isolated complex III deficiency is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by a wide spectrum of clinical manifestations ranging from isolated myopathy or transient hepatopathy to severe multisystem disorder (that may include hypotonia, failure to thrive, psychomotor delay, cardiomyopathy, encephalopathy, renal tubulopathy, hearing impairment, lactic acidosis, hypoglycemia and other signs and symptoms).","Isolated CoQ-cytochrome C reductase deficiency,Isolated coenzyme Q-cytochrome C reductase deficiency,Isolated mitochondrial respiratory chain complex III deficiency,Isolated ubiquinone-cytochrome C reductase deficiency"
618775,Orphanet: Isolated complex III deficiency,-,"Neonatal,Infancy,Childhood","Isolated complex III deficiency is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by a wide spectrum of clinical manifestations ranging from isolated myopathy or transient hepatopathy to severe multisystem disorder (that may include hypotonia, failure to thrive, psychomotor delay, cardiomyopathy, encephalopathy, renal tubulopathy, hearing impairment, lactic acidosis, hypoglycemia and other signs and symptoms).","Isolated CoQ-cytochrome C reductase deficiency,Isolated coenzyme Q-cytochrome C reductase deficiency,Isolated mitochondrial respiratory chain complex III deficiency,Isolated ubiquinone-cytochrome C reductase deficiency"
615156,Orphanet: DNA2 related mitochondrial DNA deletion syndrome,&lt;1 / 1 000 000,Allages,"A rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by either late-onset myopathy with progressive external ophthalmoplegia and muscular weakness (predominantly limb-girdle) or early-onset myopathy presenting with decreased fetal movements, congenital ptosis, progressive external ophthalmoplegia, hypotonia and, variably, joint contractures. Reduced content and multiple deletions of mitochondrial DNA is observed in muscle biopsy.","Mitochondrial DNA deletion syndrome with limb-girdle weakness,Mitochondrial DNA deletion syndrome with progressive myopathy,mtDNA deletion syndrome with limb-girdle weakness,mtDNA deletion syndrome with progressive myopathy"
615155,Orphanet: Steel syndrome,&lt;1 / 1 000 000,"Neonatal,Infancy","A rare genetic bone disease characterized by short stature, bilateral congenital hip dislocation, radial head dislocation, carpal coalition, scoliosis, pes cavus, and atlantoaxial subluxation. Dysmorphic facial features include broad forehead, broad nasal bridge, hypertelorism, and mild midface hypoplasia. Association with bilateral sensorineural hearing loss has also been described.",Bilateral hip and radial head dislocations-short stature-scoliosis-carpal coalitions-pes cavus-facial dysmorphism syndrome
615147,Orphanet: Progressive retinal dystrophy due to retinol transport defect,&lt;1 / 1 000 000,Childhood,"Progressive retinal dystrophy due to retinol transport defect is a rare, genetic, metabolite absorption and transport disorder characterized by progressive rod-cone dystrophy, usually presenting with impaired night vision in childhood, progressive loss of visual acuity and severe retinol deficiency without keratomalacia. Association with ocular colobomas, severe acne and hypercholesterolemia has been reported.",Retinol dystrophy-iris coloboma-comedogenic acne syndrome
616428,Orphanet: Colobomatous microphthalmia,-,"Antenatal,Neonatal",Colobomatous microphthalmia is a developmental disorder of the eye characterized by unilateral or bilateral microphthalmia associated with ocular coloboma.,"MAC,Microphthalmia with colobomatous cyst,Microphthalmia-anophthalmia-coloboma syndrome"
615139,Orphanet: Facial dysmorphism immunodeficiency livedo short stature syndrome,&lt;1 / 1 000 000,"Infancy,Neonatal","Facial dysmorphism-immunodeficiency-livedo-short stature syndrome is a rare genetic disease characterized by facial dysmorphism with malar hypoplasia and high forehead, immunodeficiency resulting in recurrent infections, impaired growth (with normal growth hormone production and response) resulting in short stature, and livedo affecting face and extremities. Immunological analyses show low memory B-cell and naïve T cell counts, decreased T cell proliferation, and reduced IgM, IgG2 and IgG4 titers. Patients do not exhibit increased susceptibility to cancer.",FILS syndrome
615135,Orphanet: Intermediate maple syrup urine disease,1-9 / 1 000 000,"Infancy,Neonatal","Intermediate maple syrup urine disease (intermediate MSUD) is a milder form of MSUD (see this term) characterized by persistently raised branched-chain amino acids (BCAAs) and ketoacids, but fewer or no acute episodes of decompensation.","Intermediate BCKD deficiency,Intermediate MSUD,Intermediate branched-chain alpha-ketoacid dehydrogenase deficiency"
615848,Orphanet: Familial melanoma,Unknown,Adult,Familial melanoma (FM) is a rare inherited form of melanoma characterized by development of histologically confirmed melanoma in two first degrees relatives or more relatives in an affected family.,
615400,Orphanet: Benign adult familial myoclonic epilepsy,Unknown,Allages,"Benign adult familial myoclonic epilepsy (BAFME) is an inherited epileptic syndrome characterized by cortical hand tremors, myoclonic jerks and occasional generalized or focal seizures with a non-progressive or very slowly progressive disease course, and no signs of early dementia or cerebellar ataxia.","ADCME,Autosomal dominant cortical myoclonus and epilepsy,BAFME,Benign adult familial myoclonus epilepsy,FAME,FCMTE,Familial adult myoclonic epilepsy,Familial cortical myoclonic tremor and epilepsy"
615122,Orphanet: Combined immunodeficiency due to CD27 deficiency,&lt;1 / 1 000 000,"Infancy,Adolescent,Adult,Childhood","A rare autosomal recessive primary immunodeficiency characterized by Epstein-Barr virus (EBV)-triggered lymphoprolipherative disorders such as malignant B-cell proliferation, Hodgkin lymphoma, B-cell lymphoma and EBV-driven hemophagocytic lymphohistiocytosis (HLH). Aplastic anemia and inflammatory disorders such as uveitis and oral ulcers are also observed.","Autosomal recessive lymphoproliferative disease due to CD27 deficiency,CD27 deficiency"
617239,Orphanet: Congenital myasthenic syndrome,1-9 / 1 000 000,"Infancy,Neonatal",Congenital myasthenic syndrome (CMS) is a group of genetic disorders of impaired neuromuscular transmission at the motor endplate characterized by fatigable muscle weakness.,CMS
616501,Orphanet: Fatal infantile cytochrome C oxidase deficiency,-,"Infancy,Neonatal",Fatal infantile cytochrome C oxidase deficiency is a very rare mitochondrial disease characterized clinically by cardioencephalomyopathy resulting in death in infancy.,"Fatal infantile COX deficiency,Fatal infantile cardioencephalomyopathy due to cytochrome C oxidase deficiency"
615113,Orphanet: Isolated microphthalmia anophthalmia coloboma,Unknown,"Antenatal,Neonatal","A non-syndromic group of structural developmental eye defects characterized by the variable combination of microphthalmia, ocular coloboma, and anophthalmia, either unilaterally or bilaterally, with no other associated ocular conditions in the affected/contralateral eye, and no systemic anomalies.",Isolated anophthalmia-microphthalmia syndrome
615112,Orphanet: Ochoa syndrome,Unknown,Childhood,Ochoa syndrome is characterized by the association of severe voiding dysfunction and a characteristic facial expression.,"Hydronephrosis-inverted smile syndrome,Inverted smile-neurogenic bladder syndrome,Partial facial palsy with urinary abnormalities,Urofacial syndrome"
616858,Orphanet: Cowden syndrome,1-9 / 1 000 000,Allages,"A genodermatosis characterized by the presence of multiple hamartomas in various tissues and an increased risk for malignancies of the breast, thyroid, endometrium, kidney and colorectum. When CS is accompanied by germline ","Cowden disease,Multiple hamartoma syndrome"
616858,Orphanet: Cowden syndrome,1-9 / 1 000 000,Allages,"A genodermatosis characterized by the presence of multiple hamartomas in various tissues and an increased risk for malignancies of the breast, thyroid, endometrium, kidney and colorectum. When CS is accompanied by germline ","Cowden disease,Multiple hamartoma syndrome"
616858,Orphanet: Cowden syndrome,1-9 / 1 000 000,Allages,"A genodermatosis characterized by the presence of multiple hamartomas in various tissues and an increased risk for malignancies of the breast, thyroid, endometrium, kidney and colorectum. When CS is accompanied by germline ","Cowden disease,Multiple hamartoma syndrome"
615102,Orphanet: Dysmorphism conductive hearing loss heart defect syndrome,Unknown,"Infancy,Neonatal","Dysmorphism-conductive hearing loss-heart defect syndrome is a rare, multiple congenital anomalies syndrome characterized by a distinctive facial appearance (low frontal hairline, bilateral ptosis, prominent eyes, flat midface, broad, ﬂat nares, Cupid's bow upper lip vermilion, and small, low-set, posteriorly rotated ears), in addition to cleft palate, conductive hearing loss, heart defects (atrial or ventricular septal defect) and mild developmental delay/intellectual disability.",
615095,Orphanet: Microcephalic primordial dwarfism due to ZNF335 deficiency,&lt;1 / 1 000 000,"Antenatal,Neonatal","Microcephalic primordial dwarfism due to ZNF335 deficiency is characterized by severe antenatal microencephaly, simplified gyration, agenesis of the corpus callosum, absence of basal ganglia (very rare), pontocerebellar atrophy and involvement of the white matter with secondary cerebral atrophy. Congenital cataract, choanal atresia, multiple arthrogryposis and spastic tetraparesis can occur.","Microcephalic primordial dwarfism, Walsh type"
615396,Orphanet: Left ventricular noncompaction,-,Allages,"Left ventricular noncompaction (LVNC) is a rare cardiomyopathy characterized anatomically by prominent left ventricular trabeculae and deep intratrabecular recesses causing progressive systolic and diastolic dysfunction, conduction abnormalities, and occasionally thromboembolic events.","LVNC,Left ventricular hypertrabeculation,Spongy myocardium"
615085,Orphanet: Autosomal recessive malignant osteopetrosis,1-9 / 1 000 000,"Infancy,Neonatal",Infantile malignant osteopetrosis is a rare congenital disorder of bone resorption characterised by generalised skeletal densification.,Infantile malignant osteopetrosis
615084,Orphanet: Progressive external ophthalmoplegia myopathy emaciation syndrome,&lt;1 / 1 000 000,Allages,"Progressive external ophthalmoplegia-myopathy-emaciation syndrome is a rare mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies characterized by progressive external ophthalmoplegia without diplopia, cerebellar atrophy, proximal skeletal muscle weakness with generalized muscle wasting, profound emaciation, respiratory failure, spinal deformity and facial muscle weakness (manifesting with ptosis, dysphonia, dysphagia and nasal speech). Intellectual disability, gastrointestinal symptoms (e.g. nausea, abdominal fullness, and loss of appetite), dilated cardiomyopathy and renal colic have also been reported.","Mitochondrial DNA maintenance syndrome due to MGME1 deficiency,PEO-myopathy-emaciation syndrome,mtDNA maintenance syndrome due to MGME1 deficiency"
616415,Orphanet: Attenuated familial adenomatous polyposis,-,Adult,"A mild form of familial adenomatous polyposis characterized by the presence of fewer than 100 adenomatous colonic polyps, a more proximal colonic location, a delayed age of colorectal cancer onset and a more limited expression of the extracolonic features.","AFAP,Attenuated FAP,Attenuated familial polyposis coli"
619202,Orphanet: Male infertility with azoospermia or oligozoospermia due to single gene mutation,-,-,"Male infertility with azoospermia or oligospermia due to single gene mutation is a rare, genetic male infertility due to sperm disorder characterized by the absence of a measurable amount of spermatozoa in the ejaculate (azoospermia), or a number of sperm in the ejaculate inferior to 15 million/mL (oligozoospermia), resulting from a mutation in a single gene known to cause azoo- or oligo-spermia. Sperm morphology may be normal.",
615075,Orphanet: Severe intellectual disability progressive spastic diplegia syndrome,&lt;1 / 1 000 000,Infancy,"Severe intellectual disability-progressive spastic diplegia syndrome is a rare, genetic, syndromic intellectual disability disorder characterized by intellectual disability, significant motor delay, severe speech impairment, early-onset truncal hypotonia with progressive distal hypertonia/spasticity, microcephaly, and behavioral anomalies (autistic features, aggression or auto-aggressive behavior, sleep disturbances). Variable facial dysmorphism includes broad nasal tip with small alae nasi, long and/or flat philtrum, thin upper lip vermillion. Visual impairment (strabismus, hyperopia, myopia) is commonly associated.",CTNNB1 syndrome
615074,Orphanet: Severe intellectual disability poor language strabismus grimacing face long fingers syndrome,&lt;1 / 1 000 000,"Infancy,Neonatal","Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome is a rare, genetic, syndromic intellectual disability disorder characterized by global development delay with very limited or absent speech and language, severe intellectual disability, long slender fingers, ocular abnormalities (typically strabismus or hypermetropia), and facial dysmorphism that includes a grimacing facial expression, a tubular-shaped nose with a prominent, broad base and tip, and other variable features, such as broad forehead, hypertelorism, deep-set eyes, narrow palpebral fissures, short philtrum and/or broad mouth.",
615073,"Orphanet: Autosomal dominant focal dystonia, DYT25 type",&lt;1 / 1 000 000,Adult,"A form of focal dystonia characterized by cervical, laryngeal and hand-forearm dystonia.","DYT25,Dystonia 25"
616849,Orphanet: Brachydactyly type A1,Unknown,"Infancy,Neonatal","A rare, congenital limb malformation characterized by shortened or underdeveloped middle phalanges of all digits, that are sometimes fused with the terminal phalanges. The proximal phalanges of the thumbs and big toes are also shortened. Short stature in adulthood has been reported in association.","Brachydactyly, Farabee type"
615071,Orphanet: Alazami syndrome,&lt;1 / 1 000 000,"Antenatal,Neonatal","A rare form of primordial dwarfism, often microcephalic, characterized by short stature, global developmental delay, variable intellectual disability and recognizable dysmorphic facial features (triangular face, prominent forehead, deeply set eyes, low-set ears, wide nose, malar hypoplasia, wide mouth, thick lips, and widely spaced teeth).","Microcephalic primordial dwarfism, Alazami type"
618801,Orphanet: Primary ciliary dyskinesia,-,Neonatal,"A rare, genetically heterogeneous, primarily respiratory disorder characterized by chronic upper and lower respiratory tract disease. Approximately half of the patients have an organ laterality defect (situs inversus totalis or situs ambiguus/heterotaxy).",PCD
619131,Orphanet: Osteogenesis imperfecta,1-5 / 10 000,Allages,"A rare, genetic, primary bone dysplasias characterized by increased bone fragility, low bone mass, and susceptibility to bone fractures. The clinical severity is heterogeneous.","Brittle bone disease,Glass bone disease,Lobstein disease,OI"
615065,Orphanet: Distal arthrogryposis type 5D,&lt;1 / 1 000 000,Neonatal,"Distal arthrogryposis type 5D is a rare subtype of distal arthrogryposis syndrome characterized by arthrogryposis multiplex congenita affecting the hands, feet, ankle, shoulders and/or neck, with camptodactyly of the fingers and limited knee and hip extension, associated with asymmetric ptosis and, less frequently, other ocular manifestations (e.g. ophthalmoplegia, strabismus). Affected individuals frequently have a bulbous nose, furrowed tongue, micro/retrognathia, a short neck, congenital hip dislocation, club feet, scoliosis and short stature.","DA5D,Distal arthrogryposis type 5 without ophthalmoparesis,Distal arthrogryposis type 5 without ophthalmoplegia"
618275,Orphanet: Hypotrichosis simplex,&lt;1 / 1 000 000,Childhood,"Hypotrichosis simplex (HS) or hereditary hypotrichosis simplex (HHS) is characterized by reduced pilosity over the scalp and body (with sparse, thin, and short hair) in the absence of other anomalies.",Hereditary hypotrichosis simplex
617024,Orphanet: Congenital stationary night blindness,Unknown,Neonatal,"Congenital stationary night blindness (CSNB) refers to a non-progressive group of retinal disorders characterized by night or dim light vision disturbance or delayed dark adaptation, poor visual acuity (ranging from 20/30 to 20/200), myopia (ranging from low (-0.25 diopters [D] to -4.75 D) to high (≥-10.00 D)), nystagmus, strabismus, normal color vision and fundus abnormalities.",Congenital essential nyctalopia
615048,Orphanet: Lower motor neuron syndrome with late adult onset,&lt;1 / 1 000 000,Adult,"A rare, genetic, motor neuron disease characterized by slowly progressive, predominantly proximal, muscular weakness and atrophy which typically manifests with muscle cramps, fasciculations, decreased/absent deep tendon reflexes, hand tremor, and elevated serum creatine kinase at onset and later associates with reduced walking ability and impaired vibration sensation.","LOSMoN,Late-onset spinal motor neuronopathy,SMAJ,Spinal muscular atrophy, Jokela type"
615043,Orphanet: Autosomal recessive spastic paraplegia type 43,&lt;1 / 1 000 000,"Childhood,Adolescent","Autosomal recessive spastic paraplegia type 43 is a rare, complex hereditary spastic paraplegia characterized by a childhood to adolescent onset of progressive lower limb spasticity, associated with mild to severe gait disturbances, extensor plantar responses, muscle weakness and severe distal atrophy, frequently with upper limb involvement. Additional features may include joint contractures, distal sensory loss and brisk or absent deep tendon reflexes. Other signs, such as depression, memory loss, optic atrophy (with vision loss) and brain iron deposition (revealed by brain imagery), have also been reported.",SPG43
615042,Orphanet: Congenital muscular dystrophy with intellectual disability and severe epilepsy,&lt;1 / 1 000 000,"Infancy,Neonatal","Congenital muscular dystrophy with intellectual disability and severe epilepsy is a rare, fatal, inborn error of metabolism disorder characterized by respiratory distress and severe hypotonia at birth, severe global developmental delay, early-onset intractable seizures, myopathic fascies with craniofacial dysmorphism (trigonocephaly/progressive microcephaly, low anterior hairline, arched eyebrows, hypotelorism, strabismus, small nose, prominent philtrum, thin upper lip, high-arched palate, micrognathia, malocclusion), severe, congenital flexion joint contractures and elevated serum creatine kinase levels. Scoliosis, optic atrophy, mild hepatomegaly, and hypoplastic genitalia may also be associated.","CDG syndrome type Iu,CDG-Iu,CDG1U,CMD with intellectual disability and severe epilepsy,Carbohydrate deficient glycoprotein syndrome type Iu,Congenital disorder of glycosylation type 1u,Congenital disorder of glycosylation type Iu,DPM2-CDG"
618135,Orphanet: Walker Warburg syndrome,1-9 / 1 000 000,"Infancy,Neonatal",Walker-Warburg Syndrome (WWS) is a rare form of congenital muscular dystrophy associated with brain and eye abnormalities.,"HARD syndrome,Hydrocephalus-agyria-retinal dysplasia syndrome,WWS"
615552,Orphanet: Familial episodic pain syndrome,&lt;1 / 1 000 000,"Infancy,Neonatal","Familial episodic pain syndrome is a rare, genetic, peripheral neuropathy disorder characterized by recurrent, stereotyped, episodic intense pain, ocurring predominantly in either the upper body or lower limbs in several members of a family, which is triggered or exacerbated by fatigue, cold exposure, fasting, weather changes and/or physical stress or exertion and may or may not diminish with age. Sweating and other manifestations, such as tachycardia, breathing difficulties and generalized pallor, may be associated.",FEPS
615035,Orphanet: Autosomal recessive spastic paraplegia type 55,&lt;1 / 1 000 000,Childhood,"Autosomal recessive spastic paraplegia type 55 (SPG 55) is a rare, complex type of hereditary spastic paraplegia characterized by childhood onset of progressive spastic paraplegia associated with optic atrophy (with reduced visual acuity and central scotoma), ophthalmoplegia, reduced upper-extremity strength and dexterity, muscular atrophy in the lower extremities, and sensorimotor neuropathy. SPG55 is caused by mutations in the ",SPG55
615034,Orphanet: Cranio cervical dystonia with laryngeal and upper limb involvement,-,-,"Cranio-cervical dystonia with laryngeal and upper-limb involvement is a rare genetic, isolated dystonia characterized by a variable combination of cervical dystonia with tremor, blepharospasm, oromandibular and laryngeal dystonia. Dystonia progresses slowly and might spread to become segmental. Arm tremor and myoclonic jerks in the arms or neck have also been reported.","DYT24,Dystonia 24"
615033,Orphanet: Autosomal recessive spastic paraplegia type 54,&lt;1 / 1 000 000,"Infancy,Childhood","Autosomal recessive spastic paraplegia type 54 (SPG54) is a rare, complex form of hereditary spastic paraplegia characterized by the onset in early childhood of progressive spastic paraplegia associated with cerebellar signs, short stature, delayed psychomotor development, intellectual disability and, less commonly, foot contractures, dysarthria, dysphagia, strabismus and optic hypoplasia. SPG54 is caused by mutations in the ",SPG54
615031,Orphanet: Hereditary sensory and autonomic neuropathy due to TECPR2 mutation,&lt;1 / 1 000 000,Infancy,"Hereditary sensory and autonomic neuropathy due to TECPR2 mutation is a rare genetic peripheral neuropathy characterized by early hypotonia evolving to spastic paraparesis, areflexia, decreased pain and temperature sensitivity, autonomic neuropathy, gastroesophageal reflux disease, recurrent pneumonia and respiratory problems. Patients also have intellectual disability and dysmorphic features, including mild brachycephalic microcephaly, short broad neck, low anterior hairline and coarse face.","Autosomal recessive spastic paraplegia type 49,HSAN due to TECPR2 mutation,SPG49"
615030,Orphanet: Autosomal recessive spastic paraplegia type 56,&lt;1 / 1 000 000,"Neonatal,Infancy,Childhood","A rare form of hereditary spastic paraplegia characterized by delayed walking, toe walking, unsteady and spastic gait, hyperreflexia of the lower limbs, and extensor plantar responses. Upper limbs spasticity and dystonia, subclinical axonal neuropathy, cognitive impairment and intellectual disability have also been associated.",SPG56
615028,Orphanet: Epidermolysis bullosa simplex due to exophilin 5 deficiency,&lt;1 / 1 000 000,Childhood,"A rare, inherited, epidermolysis bullosa simplex characterized by mild, generalized trauma-induced scale crusts and intermittent blistering, sometimes combined with erosions, recovering with slight scarring and post-inflammatory hyperpigmentation. Clinical symptoms improve with age.",EBS due to exophilin 5 deficiency
615026,Orphanet: Maternal riboflavin deficiency,&lt;1 / 1 000 000,Adult,"Maternal riboflavin deficiency is a rare, genetic disorder of metabolite absorption or transport characterized by persistently decreased riboflavin serum levels due to a primary genetic defect in the mother and which leads to clinical and biochemical findings consistent with a secondary, life-threatening, transient multiple acyl-CoA dehydrogenase deficiency (MADD) in the newborn. The mother usually presents hyperemesis gravidarum in the absence of other features of riboflavin deficiency, such as skin lesions, jaundice, pruritus, sore mucous membranes, visual disturbances.",
615025,Orphanet: Autosomal dominant Charcot Marie Tooth disease type 2Q,&lt;1 / 1 000 000,"Adolescent,Adult","A rare subtype of autosomal dominant Charcot-Marie-Tooth disease type 2, characterized by adolescent to adulthood-onset of symmetrical, slowly progressive distal muscle weakness and atrophy (with a predominant weakness of the distal lower limbs) associated with reduced or absent deep tendon reflexes, pes cavus and mild to moderated deep sensory impairment.",CMT2Q
615024,Orphanet: Congenital non bullous ichthyosiform erythroderma,1-9 / 1 000 000,"Infancy,Neonatal","Congenital ichthyosiform erythroderma (CIE) is a variant of autosomal recessive congenital ichthyosis (ARCI; see this term), a rare epidermal disease, characterized by fine, whitish scales on a background of erythematous skin over the whole body.","CIE,Erythrodermic ichthyosis,Non-bullous congenital ichthyosiform erythroderma"
615024,Orphanet: Congenital non bullous ichthyosiform erythroderma,1-9 / 1 000 000,"Infancy,Neonatal","Congenital ichthyosiform erythroderma (CIE) is a variant of autosomal recessive congenital ichthyosis (ARCI; see this term), a rare epidermal disease, characterized by fine, whitish scales on a background of erythematous skin over the whole body.","CIE,Erythrodermic ichthyosis,Non-bullous congenital ichthyosiform erythroderma"
615846,Orphanet: Aicardi GoutiÃ¨res syndrome,1-5 / 10 000,"Infancy,Neonatal","An inherited, subacute encephalopathy characterised by the association of basal ganglia calcification, leukodystrophy and cerebrospinal fluid (CSF) lymphocytosis.","Encephalopathy with basal ganglia calcification,Encephalopathy with intracranial calcification and chronic lymphocytosis of cerebrospinal fluid"
615009,Orphanet: Intellectual disability craniofacial dysmorphism cryptorchidism syndrome,&lt;1 / 1 000 000,"Infancy,Neonatal","Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome is a rare, genetic, syndromic intellectual disability syndrome characterized by mild to moderate intellectual disability, developmental delay (with speech and language development more severely affected) and facial dysmorphism which typically includes full, arched eyebrows, hypertelorism, down-slanting palpebral fissures, long eyelashes, ptosis, low-set, simple ears, bulbous nasal tip, flat philtrum, wide mouth with downturned corners and thin upper lip and diastema of the teeth. Association with infantile hypotonia, seizures, cryptorchidism in males and congenital abnormalities, including cardiac, cerebral or occular defects, may be observed.",PACS1-related syndrome
615008,Orphanet: Atypical hemolytic uremic syndrome,1-9 / 100 000,Allages,"A rare, genetic thrombotic microangiopathy due to dysregulation of the alternative complement pathway and characterized by the triad of hemolytic anemia, thrombocytopenia, and acute renal dysfunction.","Atypical HUS,aHUS"
618824,Orphanet: Bilateral striopallidodentate calcinosis,Unknown,Adult,"Bilateral striopallidodentate calcinosis (BSPDC, also erroneously called Fahr disease) is characterized by the accumulation of calcium deposits in different brain regions, particularly the basal ganglia and dentate nucleus, and is often associated with neurodegeneration.","BSPDC,Cerebrovascular ferrocalcinosis,Idiopathic basal ganglia calcification,PFBC,Primary familial brain calcification"
618298,Orphanet: Infantile spasms syndrome,1-9 / 100 000,"Infancy,Neonatal,Childhood","A rare disorder characterized by the association of clusters of axial spasms, psychomotor retardation and an hypsarrhythmic interictal EEG pattern. It is the most frequent type of epileptic encephalopathy. It may occur in otherwise healthy infants and in those with abnormal cognitive development.",West syndrome
615005,Orphanet: Autosomal dominant nocturnal frontal lobe epilepsy,Unknown,"Adult,Childhood,Adolescent",A rare seizure disorder characterized by intermittent dystonia and/or choreoathetoid movements that occur during sleep. The clusters of nocturnal motor seizures are often stereotyped and brief.,"ADNFLE,Autosomal dominant sleep-related hypermotor epilepsy"
614979,Orphanet: Optic nerve edema splenomegaly syndrome,&lt;1 / 1 000 000,Childhood,"Optic nerve edema-splenomegaly syndrome is a rare presumably genetic disorder characterized by idiopathic massive splenomegaly with pancytopenia and childhood-onset chronic optic nerve edema with slowly progressive vision loss. Additional reported features include anhidrosis, urticaria and headaches.",
614976,Orphanet: Carpenter syndrome,&lt;1 / 1 000 000,"Childhood,Antenatal,Neonatal","A rare syndromic craniosynostosis with variable phenotypic expression characterized by craniosynostosis, intellectual disability, distinctive facies, abnormalities of the fingers and toes (brachydactyly, polydactyly and syndactyly), short stature, congenital heart disease, skeletal defects, obesity, genital abnormalities and umbilical hernia.","ACPS2,Acrocephalopolysyndactyly type 2"
614974,Orphanet: Focal facial dermal dysplasia,&lt;1 / 1 000 000,"Neonatal,Antenatal","Focal facial dermal dysplasias (FFDD) are rare ectodermal dysplasias, characterized by congenital bitemporal (resembling forceps marks) or preauricular scar-like lesions associated with additional facial and or systematic manifestations. 4 types of FFDD are described (FFDD I to IV; see these terms). FFDD types II and III present with a variable facial dysmorphism including distichiasis (upper lashes) or lacking eyelashes, and upward slanting and thinned lateral eyebrows with a flattened nasal bridge and full upper lip. FFDD types I and IV are infrequently associated with extra-cutaneous anomalies.",FFDD
614974,Orphanet: Focal facial dermal dysplasia,&lt;1 / 1 000 000,"Neonatal,Antenatal","Focal facial dermal dysplasias (FFDD) are rare ectodermal dysplasias, characterized by congenital bitemporal (resembling forceps marks) or preauricular scar-like lesions associated with additional facial and or systematic manifestations. 4 types of FFDD are described (FFDD I to IV; see these terms). FFDD types II and III present with a variable facial dysmorphism including distichiasis (upper lashes) or lacking eyelashes, and upward slanting and thinned lateral eyebrows with a flattened nasal bridge and full upper lip. FFDD types I and IV are infrequently associated with extra-cutaneous anomalies.",FFDD
614972,Orphanet: Intrahepatic cholestasis of pregnancy,Unknown,Adult,"Intrahepatic cholestasis of pregnancy (ICP) is a cholestatic disorder characterized by (i) pruritus with onset in the second or third trimester of pregnancy, (ii) elevated serum aminotransferases and bile acid levels, and (iii) spontaneous relief of signs and symptoms within two to three weeks after delivery.","Gravidic intrahepatic cholestasis,Pregnancy-related cholestasis,Recurrent intrahepatic cholestasis of pregnancy"
